user_id,user_name,department,timestamp,login_hour,location,ip_address,device_id,download_mb,files_accessed,accessed_department,is_anomaly
U021,Christina Moran,Sales,2026-05-14 08:04:15.363076,8,Stephenland,1.51.48.190,ff9ab5c2,16.85,2,Sales,False
U018,Dr. Steven Martin,HR,2026-05-14 08:14:43.363076,8,South Josephmouth,191.146.207.239,f512c4c3,42.37,10,HR,False
U007,Patty Perez,Engineering,2026-05-14 08:27:00.363076,8,Port Leslieview,153.82.8.116,366eb16f,8.18,6,Engineering,False
U015,Cindy Anderson,Engineering,2026-05-14 08:34:08.363076,8,Sanchezfort,91.150.87.180,1825bc54,24.81,1,Engineering,False
U007,Patty Perez,Engineering,2026-05-14 08:56:16.363076,8,Port Leslieview,153.82.8.116,366eb16f,18.53,6,Engineering,False
U025,Ashley Landry,HR,2026-05-14 08:56:35.363076,8,New Barry,17.86.169.123,25e97977,23.31,2,HR,False
U011,Elizabeth Fowler,Engineering,2026-05-14 09:01:47.363076,9,East Nathaniel,159.69.80.225,00257ad1,37.15,1,Engineering,False
U027,Vanessa Cochran,Sales,2026-05-14 09:03:08.363076,9,Phambury,66.122.118.194,b386f7a4,45.37,2,Sales,False
U028,Courtney Velasquez,HR,2026-05-14 09:08:17.363076,9,North Donna,149.49.143.54,4774bc58,7.91,10,HR,False
U021,Christina Moran,Sales,2026-05-14 09:11:05.363076,9,Stephenland,1.51.48.190,ff9ab5c2,20.22,8,Finance,False
U003,Gina Moore,HR,2026-05-14 09:11:17.363076,9,Curtisfurt,130.199.228.88,580d7b71,15.67,9,HR,False
U016,Jason Shields,Finance,2026-05-14 09:15:11.363076,9,Lake Deniseville,99.150.194.179,56dc8907,21.1,1,Finance,False
U002,Michelle Miles,Finance,2026-05-14 09:15:17.363076,9,Robinsonshire,181.27.237.216,01a9e71f,21.76,10,Finance,False
U022,Daniel Baker,Finance,2026-05-14 09:28:22.363076,9,Justinmouth,147.41.5.122,ce9e1a11,39.37,5,Finance,False
U030,Michael Smith,Engineering,2026-05-14 09:28:42.363076,9,West Ryan,135.249.220.117,5487fd4f,40.74,10,Engineering,False
U008,Maria Thomas,Engineering,2026-05-14 09:30:39.363076,9,East Julie,28.199.227.146,95a76d79,16.75,4,Engineering,False
U003,Gina Moore,HR,2026-05-14 09:32:05.363076,9,Curtisfurt,130.199.228.88,580d7b71,16.22,10,HR,False
U026,Steven Flynn,Sales,2026-05-14 09:36:13.363076,9,West Jasonbury,193.79.33.157,c7b5b2bc,15.22,4,Sales,False
U030,Michael Smith,Engineering,2026-05-14 09:40:01.363076,9,West Ryan,135.249.220.117,5487fd4f,44.86,7,Engineering,False
U015,Cindy Anderson,Engineering,2026-05-14 09:40:43.363076,9,Sanchezfort,91.150.87.180,1825bc54,33.46,5,Engineering,False
U001,Allison Hill,HR,2026-05-14 09:48:10.363076,9,East Jill,112.108.176.251,0822e8f3,14.46,6,HR,False
U016,Jason Shields,Finance,2026-05-14 09:48:26.363076,9,Lake Deniseville,75.190.68.157,3fa7f104,26.65,8,Sales,False
U007,Patty Perez,Engineering,2026-05-14 09:49:17.363076,9,East Robinshire,153.82.8.116,366eb16f,14.97,9,Engineering,False
U010,Kimberly Adams,Sales,2026-05-14 09:53:26.363076,9,Danielchester,194.182.240.132,f42d47cc,10.36,7,Sales,False
U020,Barry Hensley,IT,2026-05-14 09:54:28.363076,9,Wilsonshire,148.63.103.79,a8499b92,33.71,1,IT,False
U027,Vanessa Cochran,Sales,2026-05-14 09:55:01.363076,9,Johnsonmouth,66.122.118.194,b386f7a4,27.72,10,Sales,False
U025,Ashley Landry,HR,2026-05-14 09:56:34.363076,9,New Barry,17.86.169.123,25e97977,55.77,8,HR,False
U026,Steven Flynn,Sales,2026-05-14 09:57:38.363076,9,West Jasonbury,215.147.90.41,6808593f,17.98,3,Engineering,False
U015,Cindy Anderson,Engineering,2026-05-14 10:03:16.363076,10,Sanchezfort,91.150.87.180,1825bc54,23.6,2,Engineering,False
U003,Gina Moore,HR,2026-05-14 10:03:37.363076,10,Curtisfurt,130.199.228.88,580d7b71,18.52,9,Engineering,False
U002,Michelle Miles,Finance,2026-05-14 10:04:45.363076,10,Robinsonshire,181.27.237.216,01a9e71f,32.08,2,Sales,False
U008,Maria Thomas,Engineering,2026-05-14 10:13:27.363076,10,East Julie,28.199.227.146,95a76d79,19.61,8,Engineering,False
U004,Kimberly Dudley,IT,2026-05-14 10:16:13.363076,10,Millerport,214.39.58.101,e2acf72f,31.93,5,IT,False
U011,Elizabeth Fowler,Engineering,2026-05-14 10:20:21.363076,10,New Stephanie,159.69.80.225,00257ad1,33.25,7,Engineering,False
U018,Dr. Steven Martin,HR,2026-05-14 10:21:20.363076,10,South Josephmouth,191.146.207.239,f512c4c3,51.17,6,HR,False
U025,Ashley Landry,HR,2026-05-14 10:23:06.363076,10,New Barry,17.86.169.123,25e97977,46.71,2,IT,False
